space,382,372,375,377,381,378,377,376,376,376
pulse,495,498,489,493,489,490,493,494,494,494
space,373,370,375,378,376,375,381,376,376,376
pulse,493,493,493,491,494,493,496,493,494,494
space,377,375,375,377,376,376,373,385,377,376
pulse,493,493,494,493,493,494,493,486,493,493
space,1248,1249,1249,1252,1255,1252,1251,1249,1259,1257
pulse,492,494,498,485,488,485,491,493,484,486
space,1253,1255,1251,1249,1249,1248,1251,1251,1248,1248
pulse,486,499,489,492,493,494,494,494,494,494
space,374,366,376,377,377,376,369,376,375,377
pulse,497,492,494,492,493,493,492,498,499,494
space,373,375,374,377,378,376,376,371,373,374
pulse,493,494,494,493,493,494,493,494,493,499
space,376,375,376,417,377,352,378,377,376,379
pulse,493,494,494,458,493,525,493,493,494,488
space,376,376,376,373,377,367,376,377,375,374
pulse,494,493,494,491,493,494,493,494,494,493
space,376,376,376,377,377,376,377,376,376,376
pulse,498,496,493,493,493,493,493,494,495,494
space,9979,9980,9984,9987,9985,9981,9989,9984,9985,9984
pulse,3543,3548,3544,3542,3552,3548,3544,3554,3551,3551
space,1686,1686,1693,1686,1684,1686,1683,1688,1685,1682
pulse,493,500,491,493,489,493,493,485,496,498
space,376,376,375,378,373,376,376,375,369,367
pulse,494,491,494,493,492,494,494,493,493,493
space,1250,1248,1253,1254,1250,1249,1250,1248,1249,1249
pulse,494,497,487,494,491,500,493,494,493,494
space,376,370,376,377,379,375,377,376,374,376
pulse,493,492,493,492,493,494,493,492,494,494
space,376,374,376,376,376,374,378,378,376,375
pulse,500,496,493,491,493,495,493,493,493,493
space,373,376,376,381,376,376,377,376,376,377
pulse,492,494,493,486,493,487,501,493,494,494
space,377,377,376,377,375,375,374,377,376,376
pulse,493,494,494,491,495,494,491,502,496,494
space,382,376,376,376,377,377,378,369,374,375
pulse,486,494,493,491,504,494,493,492,493,503
space,376,375,375,378,368,375,379,376,386,368
pulse,493,494,496,493,493,493,486,493,485,493
space,376,376,374,377,375,377,375,377,375,376
pulse,493,494,493,493,493,493,493,494,495,494
space,376,377,377,377,377,352,376,377,352,375
pulse,494,494,502,492,494,518,495,493,517,494
space,377,384,367,377,376,376,374,376,375,375
pulse,494,486,492,493,495,493,493,493,495,494
space,374,375,377,377,374,375,378,377,376,376
pulse,493,493,493,492,493,496,493,494,493,494
space,376,375,374,378,376,350,377,376,376,376
pulse,494,494,496,501,493,528,493,493,494,494
